"Constituent ID","Gift ID","Gift Date","Fund Description","Gift Amount","Preferred ZIP"
11126924,15116,06/12/2024,"Special Collections Annual Fund",5.49,2916
11126924,15116,06/12/2024,"PPL Annual Fund",5.49,2916
11126924,14791,02/28/2024,"Special Collections Annual Fund",5.49,2916
11126924,14791,02/28/2024,"PPL Annual Fund",5.49,2916
11126924,12235,12/10/2021,"PPL Annual Fund",200,2916
11126924,13709,11/17/2022,"PPL Annual Fund",250,2916
11126924,14419,11/17/2023,"PPL Annual Fund",250,2916
11126924,15286,11/04/2024,"PPL Annual Fund",250,2916
11126096,14512,12/07/2023,"PPL Annual Fund",1000,2806
11126096,13418,12/14/2022,"PPL Annual Fund",1000,2806
11126096,13806,04/05/2023,"PPL Annual Fund",1000,2806
11126096,10652,10/01/2020,"PPL Annual Fund",500,2806
11126096,13417,12/13/2022,"PPL Annual Fund",1000,2806
11126096,13805,04/03/2023,"PPL Annual Fund",1000,2806
11126096,14511,11/28/2023,"PPL Annual Fund",1000,2806
11126096,15309,12/03/2024,"PPL Annual Fund",1000,2806
11126096,13942,05/15/2023,"Savor the Story 2023",2700,2806
11126096,14483,11/28/2023,"PPL Annual Fund",1036.58,2806
11126096,13414,12/13/2022,"PPL Annual Fund",1000,2806
11126096,11689,05/26/2021,"Savor the Story 2021",1050,2806
11126096,11690,05/26/2021,"Savor the Story 2021",450,2806
11126096,12285,12/22/2021,"PPL Annual Fund",1000,2806
11126096,10651,10/01/2020,"PPL Annual Fund",500,2806
11126096,8029,05/14/2018,"Gala Event 2018",700,2806
11126096,7947,04/30/2018,"Gala Event 2018",700,2806
9768,13146,08/03/2022,"Special Collections Annual Fund",5000,2906
10963,3613,04/05/2012,"Annual Fund",25,"02893-7526"
10963,4000,01/22/2013,"Annual Fund",25,"02893-7526"
10963,2708,01/22/2010,"Annual Fund",25,"02893-7526"
10963,3124,02/01/2011,"Annual Fund",35,"02893-7526"
10963,3285,06/21/2011,"Annual Fund",25,"02893-7526"
10963,4237,07/10/2013,"Annual Fund",25,"02893-7526"
10963,4545,02/13/2014,"Annual Fund",50,"02893-7526"
10963,4757,06/11/2014,"Annual Fund",100,"02893-7526"
10963,4861,10/15/2014,"Annual Fund",50,"02893-7526"
10963,5304,04/14/2015,"Gala Event 2015",100,"02893-7526"
10963,5136,12/23/2014,"Annual Fund",100,"02893-7526"
11126521,10109,04/01/2020,"PPL Annual Fund",100,2906
11126521,10339,06/17/2020,"PPL Annual Fund",250,2906
11126521,11411,04/01/2021,"PPL Annual Fund",100,2906
11126521,11754,06/09/2021,"PPL Annual Fund",100,2906
11126521,12984,06/14/2022,"PPL Annual Fund",250,2906
11126521,14619,12/29/2023,"Programs & Exhibitions Annual Fund",259.38,2906
11126521,14619,12/29/2023,"PPL Annual Fund",259.38,2906
11126521,13802,03/31/2023,"RI Family Literacy Initiative",250,2906
11126521,14013,06/13/2023,"Programs & Exhibitions Annual Fund",259.38,2906
11126521,14013,06/13/2023,"PPL Annual Fund",259.38,2906
11126521,15426,12/30/2024,"PPL Annual Fund",259.38,2906
11127428,15226,08/01/2024,"PPL Annual Fund",100,2903
11127428,15190,07/01/2024,"PPL Annual Fund",100,2903
11127428,14822,03/01/2024,"PPL Annual Fund",100,2903
11127428,14725,02/01/2024,"PPL Annual Fund",100,2903
11127428,14651,01/01/2024,"PPL Annual Fund",100,2903
11127428,15092,06/01/2024,"PPL Annual Fund",100,2903
11127428,14890,04/01/2024,"PPL Annual Fund",100,2903
11127428,15013,05/01/2024,"PPL Annual Fund",100,2903
11127428,11613,05/12/2021,"Savor the Story 2021",200,2903
11127428,14496,12/01/2023,"PPL Annual Fund",100,2903
11127428,14285,09/01/2023,"PPL Annual Fund",100,2903
11127428,14321,10/01/2023,"PPL Annual Fund",100,2903
11127428,14365,11/01/2023,"PPL Annual Fund",100,2903
11127428,13083,07/01/2022,"PPL Annual Fund",100,2903
11127428,13120,08/01/2022,"PPL Annual Fund",100,2903
11127428,13165,09/01/2022,"PPL Annual Fund",100,2903
11127428,13198,10/03/2022,"PPL Annual Fund",100,2903
11127428,12909,06/01/2022,"PPL Annual Fund",100,2903
11127428,12744,05/01/2022,"PPL Annual Fund",100,2903
11127428,14977,04/17/2024,"Savor the Story 2024",1036.58,2903
11127428,14977,04/17/2024,"PPL Annual Fund",1036.58,2903
11127428,14978,04/17/2024,"Savor the Story 2024",622.07,2903
11127428,14978,04/17/2024,"PPL Annual Fund",622.07,2903
11127428,12713,04/20/2022,"Savor the Story 2022",500,2903
11127428,12780,05/13/2022,"RI LGBTQ+ Film Series and Archive",1000,2903
11127428,11714,06/01/2021,"PPL Annual Fund",100,2903
11127428,11912,08/01/2021,"PPL Annual Fund",100,2903
11127428,11859,07/01/2021,"PPL Annual Fund",100,2903
11127428,12053,11/01/2021,"PPL Annual Fund",100,2903
11127428,12191,12/01/2021,"PPL Annual Fund",100,2903
11127428,12002,10/01/2021,"PPL Annual Fund",100,2903
11127428,11960,09/01/2021,"PPL Annual Fund",100,2903
11127428,12341,01/01/2022,"PPL Annual Fund",100,2903
11127428,12447,02/01/2022,"PPL Annual Fund",100,2903
11127428,12496,03/01/2022,"PPL Annual Fund",100,2903
11127428,11368,04/01/2021,"PPL Annual Fund",100,2903
11127428,11568,05/01/2021,"PPL Annual Fund",100,2903
11127428,11217,02/17/2021,"PPL Annual Fund",100,2903
11127428,11266,03/01/2021,"PPL Annual Fund",100,2903
11125376,11539,04/19/2021,"Savor the Story 2021",100,"02888-0000"
11125376,12664,03/31/2022,"PPL Annual Fund",50,"02888-0000"
11125376,12130,11/23/2021,"PPL Annual Fund",25,"02888-0000"
11125376,9172,05/28/2019,"Think Again 2017 Capital Campaign",200,"02888-0000"
11125376,4072,03/12/2013,"Gala Event 2013",150,"02888-0000"
11125376,13396,11/29/2022,"PPL Annual Fund",25,"02888-0000"
3940,7898,03/29/2018,"Gala Event 2018",500,"02906-3101"
3940,7207,05/24/2017,"Gala Event 2017",500,"02906-3101"
3940,7040,04/19/2017,"Gala Event 2017",500,"02906-3101"
3940,9028,04/03/2019,"Gala Event 2019",400,"02906-3101"
11125865,11557,04/23/2021,"Special Collections Annual Fund",500,"02906-5528"
11125865,6452,11/28/2016,"PPL Annual Fund",100,"02906-5528"
11126077,9003,03/25/2019,"Children's Annual Fund",52,"02903-4049"
11126077,9004,03/25/2019,"Children's Annual Fund",52,"02903-4049"
11126077,8927,02/15/2019,"Children's Annual Fund",52,"02903-4049"
11126077,8928,02/25/2019,"Children's Annual Fund",52,"02903-4049"
11126077,8841,01/15/2019,"Children's Annual Fund",52,"02903-4049"
11126077,8842,01/24/2019,"Children's Annual Fund",52,"02903-4049"
11126077,8750,12/14/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8686,12/25/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8051,05/22/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8084,05/24/2018,"Children's Annual Fund",52,"02903-4049"
11126077,7988,04/24/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8199,06/18/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8193,06/24/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8450,10/17/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8473,11/15/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8483,11/24/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8397,09/24/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8424,10/24/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8257,07/24/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8284,07/17/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8359,08/24/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8374,08/16/2018,"Children's Annual Fund",52,"02903-4049"
11126077,8391,09/17/2018,"Children's Annual Fund",52,"02903-4049"
11126077,9156,05/21/2019,"Children's Annual Fund",52,"02903-4049"
11126077,9157,05/21/2019,"Children's Annual Fund",52,"02903-4049"
11126077,9074,04/24/2019,"Children's Annual Fund",52,"02903-4049"
11126077,9075,04/24/2019,"Children's Annual Fund",52,"02903-4049"
11126077,9403,07/23/2019,"Children's Annual Fund",52,"02903-4049"
11126077,9347,06/24/2019,"Children's Annual Fund",52,"02903-4049"
11126077,9348,06/24/2019,"Children's Annual Fund",52,"02903-4049"
11126077,9461,08/27/2019,"Children's Annual Fund",52,"02903-4049"
11126468,9862,12/19/2019,"PPL Annual Fund",3500,2865
1200,9979,02/24/2020,"Savor the Story 2020",10000,2903
1200,9930,01/22/2020,"Savor the Story 2020",10000,2903
1200,8181,06/15/2018,"Teens Annual Fund",5000,2903
1200,8917,02/22/2019,"Gala Event 2019",15000,2903
1200,8892,02/11/2019,"Gala Event 2019",15000,2903
1200,11549,04/20/2021,"Technology Career Pathway",20000,2903
1200,10475,04/15/2020,"Teens Annual Fund",10000,2903
1200,12516,03/09/2022,"Savor the Story 2022",5000,2903
1200,6835,01/23/2017,"Gala Event 2017",2500,2903
1200,5731,02/08/2016,"Gala Event 2016",5000,2903
1200,5871,05/05/2016,"Restricted Fund",5000,2903
1200,5463,11/18/2015,"Gala Event 2016",5000,2903
1200,7056,04/25/2017,"Gala Event 2017",2500,2903
1200,7112,04/25/2017,"PPL Annual Fund",5000,2903
1200,7219,06/01/2017,"Teens Annual Fund",5000,2903
1200,7849,03/06/2018,"Gala Event 2018",5000,2903
1200,7806,01/22/2018,"Gala Event 2018",5000,2903
1200,4195,06/10/2013,"Restricted-Programs",10000,2903
1200,4616,04/03/2014,"Opening Our Doors Capital Campaign",10000,2903
1200,3475,12/21/2011,"Restricted-Programs",10000,2903
1200,13460,12/09/2022,"PPL Annual Fund",5000,2903
1200,13609,12/22/2022,"Savor the Story 2023",10000,2903
1200,12886,05/24/2022,"Technology Career Pathway",15000,2903
1200,14847,03/13/2024,"Savor the Story 2024",5000,2903
5063,14846,03/08/2024,"Savor the Story 2024",2500,"02840-0937"
5063,15109,06/06/2024,"Technology Career Pathway",10000,"02840-0937"
5063,13713,03/17/2023,"Savor the Story 2023",2500,"02840-0937"
5063,12517,03/09/2022,"Savor the Story 2022",2500,"02840-0937"
5063,12547,03/11/2022,"Savor the Story 2022",2500,"02840-0937"
5063,11635,05/19/2021,"Technology Career Pathway",10000,"02840-0937"
5063,11277,03/01/2021,"Savor the Story 2021",2500,"02840-0937"
